Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD,,,,,,,,,,,,
Type01,230,PURE_GPR,5.7856,5.56412,2.93702,0.7587,8.32067,0.71371,266.35555,0.96886,0.98418,5.36485,,,,,,,,,,,,
Type01,230,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type01,240,PCA_GPR,13.05365,12.41361,16.8682,3.8204,50.16196,3.70697,1926.45441,0.8654,0.92784,12.20606,,,,,,,,,,,,
Type01,240,PCA_KRR,4.59987,3.8131,3.71867,1.63288,5.83513,0.01302,22.9031,0.93433,0.96605,3.64136,,,,,,,,,,,,
Type01,240,PCA_LINEAR,4.91327,4.03715,3.95777,1.64027,3.75139,0.07127,144.34829,0.94056,0.96937,3.77932,,,,,,,,,,,,
Type01,240,PCA_SVR,4.1555,3.5339,3.46376,1.7738,8.23039,0.19109,62.91941,0.92767,0.96248,3.51229,,,,,,,,,,,,
Type01,240,PURE_GPR,4.69443,3.90945,4.29656,1.9393,5.1011,0.07368,165.82081,0.92694,0.96208,3.55623,,,,,,,,,,,,
Type01,240,RATIO_CTRL,4.28634,4.16966,3.25648,1.3368,2.32777,1.23463,298.33896,0.95155,0.97517,1.99153,,,,,,,,,,,,
Type01,250,PCA_GPR,7.45834,7.39181,7.4785,2.02216,18.78066,1.55685,635.11472,0.92481,0.96094,7.32236,,,,,,,,,,,,
Type01,250,PCA_KRR,4.36334,3.93026,4.00429,1.51487,3.43286,0.01814,25.46368,0.9438,0.97109,3.915,,,,,,,,,,,,
Type01,250,PCA_LINEAR,4.33709,3.93982,3.66758,1.36572,3.98406,0.04668,128.22007,0.94692,0.97274,3.92128,,,,,,,,,,,,
Type01,250,PCA_SVR,4.80921,4.46938,4.00765,1.52161,0.29911,0.33764,150.65543,0.94327,0.97081,4.45252,,,,,,,,,,,,
Type01,250,PURE_GPR,4.33351,3.85335,5.61615,2.00759,3.8496,0.46123,86.13964,0.92278,0.95984,3.83372,,,,,,,,,,,,
Type01,250,RATIO_CTRL,2.10923,1.84068,3.0216,1.1752,0.58711,2.48127,367.56889,0.95851,0.97882,1.83247,,,,,,,,,,,,
Type01,260,PCA_GPR,5.963,5.08037,7.55244,3.09699,12.99372,3.30907,374.65786,0.88818,0.94078,4.26443,,,,,,,,,,,,
Type01,260,PCA_KRR,6.31738,5.27321,8.89342,3.11482,2.4958,2.74572,191.76518,0.89814,0.94634,4.94866,,,,,,,,,,,,
Type01,260,PCA_LINEAR,6.12347,5.18966,7.40046,2.89499,4.77892,2.72992,96.18313,0.8932,0.94359,4.72331,,,,,,,,,,,,
Type01,260,PCA_SVR,6.45651,5.47971,8.53297,3.09013,7.63154,3.03137,277.7104,0.8829,0.93781,4.58234,,,,,,,,,,,,
Type01,260,PURE_GPR,6.84872,5.99636,9.06285,3.71837,0.31849,0.93317,332.54152,0.87353,0.9325,5.58079,,,,,,,,,,,,
Type01,260,RATIO_CTRL,5.17634,4.93624,6.18152,2.07389,0.5357,1.07052,767.90431,0.93105,0.96429,2.88334,,,,,,,,,,,,
Type01,280,PCA_GPR,12.59587,11.16108,24.06424,5.86746,74.9696,6.35659,2555.3663,0.81705,0.89932,11.192,,,,,,,,,,,,
Type01,280,PCA_KRR,5.24398,4.63987,5.65419,2.02761,9.89219,1.19311,708.0985,0.89542,0.94483,4.56044,,,,,,,,,,,,
Type01,280,PCA_LINEAR,5.3945,4.90156,5.55745,2.31174,4.59532,1.0761,101.32769,0.90608,0.95073,4.88388,,,,,,,,,,,,
Type01,280,PCA_SVR,5.36281,4.5434,5.67876,2.09021,13.52241,1.55777,971.78286,0.88362,0.93821,4.13947,,,,,,,,,,,,
Type01,280,PURE_GPR,5.61931,4.97326,8.7484,3.27035,10.18838,1.94729,269.51341,0.89703,0.94572,4.85385,,,,,,,,,,,,
Type01,280,RATIO_CTRL,4.12028,3.51563,8.39659,2.49859,4.40648,4.77444,1578.85778,0.92731,0.96229,3.15326,,,,,,,,,,,,
Type02,230,PCA_GPR,7.90468,7.85857,7.59404,1.7789,22.03617,1.79354,606.48082,0.9269,0.96206,7.69734,,,,,,,,,,,,
Type02,230,PCA_KRR,4.56829,4.22992,0.74494,0.37513,0.02297,0.39807,102.79968,0.98008,0.98994,4.05883,,,,,,,,,,,,
Type02,230,PCA_LINEAR,4.7447,4.32042,1.75723,0.55827,2.6996,0.41444,279.71552,0.96466,0.98201,4.1569,,,,,,,,,,,,
Type02,230,PCA_SVR,4.86974,4.64658,1.58948,0.33887,3.90425,0.1317,65.12749,0.98271,0.99128,4.42363,,,,,,,,,,,,
Type02,230,PURE_GPR,6.58242,6.36369,3.00562,0.71749,6.6987,0.61975,55.65621,0.96315,0.98123,6.12983,,,,,,,,,,,,
Type02,230,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type02,250,PCA_GPR,7.33883,6.84233,7.3998,3.15649,5.69763,6.58926,1040.90485,0.87623,0.93403,6.81149,,,,,,,,,,,,
Type02,250,PCA_KRR,6.60299,6.09019,6.17713,2.53681,0.30422,5.36064,634.05529,0.89291,0.94343,6.05666,,,,,,,,,,,,
Type02,250,PCA_LINEAR,6.12368,5.67643,5.43199,1.97363,0.35144,4.28471,685.02275,0.91484,0.95553,5.63632,,,,,,,,,,,,
Type02,250,PCA_SVR,7.72698,7.18702,7.81698,3.4677,5.26039,7.01216,919.64755,0.86143,0.92556,7.15025,,,,,,,,,,,,
Type02,250,PURE_GPR,6.58822,5.94644,8.59082,2.55789,0.80661,5.47512,470.19775,0.88437,0.93864,5.91334,,,,,,,,,,,,
Type02,250,RATIO_CTRL,4.5309,3.64513,7.97075,2.99761,6.69841,6.59568,1496.196,0.8947,0.94442,3.62916,,,,,,,,,,,,
Type02,260,PCA_GPR,4.3729,3.91491,6.73577,2.05491,16.10732,1.13165,538.69442,0.91441,0.95529,3.88978,,,,,,,,,,,,
Type02,260,PCA_KRR,4.7858,4.37957,3.77599,1.61337,0.97485,2.20921,102.94957,0.93189,0.96474,4.35279,,,,,,,,,,,,
Type02,260,PCA_LINEAR,4.80626,4.37669,3.55339,1.31726,1.35691,1.80002,138.858,0.94256,0.97043,4.33814,,,,,,,,,,,,
Type02,260,PCA_SVR,4.747,4.20616,2.89329,1.38552,3.33441,1.54435,157.071,0.93407,0.96591,4.15459,,,,,,,,,,,,
Type02,260,PURE_GPR,6.17901,5.38657,8.68232,2.28614,5.87428,3.74139,47.48796,0.89789,0.9462,5.33214,,,,,,,,,,,,
Type02,260,RATIO_CTRL,4.33253,3.69283,7.33158,2.91385,7.86384,5.4745,1244.94509,0.90332,0.9492,3.67892,,,,,,,,,,,,
Type02,270,PCA_GPR,8.03673,6.82064,16.12118,3.28267,39.35907,0.45457,1482.40915,0.87822,0.93516,6.48906,,,,,,,,,,,,
Type02,270,PCA_KRR,6.0685,5.86196,3.34506,1.24337,1.28284,0.5101,77.79353,0.94466,0.97154,5.58731,,,,,,,,,,,,
Type02,270,PCA_LINEAR,6.20571,5.93512,3.24429,1.46554,2.23625,1.04244,93.45862,0.93514,0.96648,5.66593,,,,,,,,,,,,
Type02,270,PCA_SVR,6.75744,6.43659,3.49372,1.38365,1.10469,0.98708,53.54658,0.94041,0.96929,6.1202,,,,,,,,,,,,
Type02,270,PURE_GPR,7.40478,6.8439,8.68614,2.62302,6.55427,3.01911,158.286,0.89426,0.94418,6.61236,,,,,,,,,,,,
Type02,270,RATIO_CTRL,4.96366,4.20381,7.28511,3.41367,9.07038,6.06795,1326.99928,0.88839,0.9409,4.18692,,,,,,,,,,,,
Type03,230,PCA_GPR,4.07278,3.73184,0.59362,0.11514,1.2793,0.10109,99.48471,0.99356,0.99677,3.53935,,,,,,,,,,,,
Type03,230,PCA_KRR,4.39794,4.11951,0.72369,0.20559,0.62745,0.02664,87.18729,0.98214,0.99099,3.92308,,,,,,,,,,,,
Type03,230,PCA_LINEAR,4.2408,3.88922,1.00578,0.41299,2.04465,0.49418,143.94032,0.98017,0.98999,3.7462,,,,,,,,,,,,
Type03,230,PCA_SVR,4.93803,4.7872,2.1557,0.48019,5.43737,0.4088,105.84154,0.97149,0.98554,4.5933,,,,,,,,,,,,
Type03,230,PURE_GPR,4.96447,4.77667,1.79009,0.38018,3.80573,0.17092,20.88396,0.97428,0.98697,4.56615,,,,,,,,,,,,
Type03,230,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type03,235,PCA_GPR,7.98303,7.93146,20.60643,2.26533,35.42958,4.73901,915.56113,0.91149,0.95369,7.65994,,,,,,,,,,,,
Type03,235,PCA_KRR,5.273,4.75361,2.8847,0.72358,2.82798,0.39451,336.63152,0.96275,0.98102,4.41827,,,,,,,,,,,,
Type03,235,PCA_LINEAR,5.41159,4.86309,2.76641,0.70375,1.86818,0.39836,272.2365,0.96351,0.98141,4.48347,,,,,,,,,,,,
Type03,235,PCA_SVR,5.22594,4.73294,3.37722,0.90695,4.82141,0.49069,492.9057,0.95447,0.97671,4.49086,,,,,,,,,,,,
Type03,235,PURE_GPR,5.36346,4.85134,2.68794,0.66191,1.53038,0.29465,293.09918,0.9616,0.98042,4.47239,,,,,,,,,,,,
Type03,235,RATIO_CTRL,2.31652,2.18036,2.05406,0.52601,0.60173,0.52193,24.00576,0.97664,0.98818,1.15217,,,,,,,,,,,,
Type03,245,PCA_GPR,7.44527,6.8548,10.65887,1.27546,19.71119,2.03625,376.96982,0.94253,0.97042,6.74895,,,,,,,,,,,,
Type03,245,PCA_KRR,5.22068,4.63875,1.97213,0.86139,3.70496,0.92457,362.69442,0.96601,0.98271,4.45717,,,,,,,,,,,,
Type03,245,PCA_LINEAR,5.2243,4.62338,1.64232,0.71449,2.33699,0.54568,356.28196,0.96949,0.98451,4.43007,,,,,,,,,,,,
Type03,245,PCA_SVR,5.28341,4.6782,2.25648,0.9718,5.27519,1.06264,443.47158,0.96143,0.98034,4.44645,,,,,,,,,,,,
Type03,245,PURE_GPR,4.87817,4.31327,2.22625,0.85969,5.86977,0.86438,556.94234,0.95368,0.97629,4.0802,,,,,,,,,,,,
Type03,245,RATIO_CTRL,1.70862,1.49669,2.16432,0.71941,0.87472,1.22362,110.64247,0.97354,0.98659,1.48935,,,,,,,,,,,,
Type03,250,PCA_GPR,5.26106,4.78806,2.62862,0.84465,0.24638,0.26919,175.6756,0.95962,0.97939,4.58903,,,,,,,,,,,,
Type03,250,PCA_KRR,5.78148,5.17311,3.17099,0.96022,0.71894,0.41168,317.82335,0.95485,0.97691,4.88286,,,,,,,,,,,,
Type03,250,PCA_LINEAR,6.00136,5.29044,3.18914,1.06295,0.02832,0.01263,362.25244,0.94963,0.97416,4.96996,,,,,,,,,,,,
Type03,250,PCA_SVR,5.26027,4.77706,2.72075,0.87105,0.83851,0.35338,206.872,0.95823,0.97867,4.5548,,,,,,,,,,,,
Type03,250,PURE_GPR,5.72543,5.04469,3.24909,1.06338,2.92067,0.28447,584.5542,0.93763,0.96781,4.66287,,,,,,,,,,,,
Type03,250,RATIO_CTRL,2.6285,2.40148,3.56237,1.47278,3.56074,2.22139,219.07529,0.94259,0.97045,2.26987,,,,,,,,,,,,
Type03,255,PCA_GPR,5.61125,5.25043,2.8105,1.01144,2.68155,0.59217,463.91197,0.95619,0.9776,4.99943,,,,,,,,,,,,
Type03,255,PCA_KRR,5.52635,5.1223,2.39623,0.80957,3.10227,0.23962,411.63286,0.96299,0.98115,4.80449,,,,,,,,,,,,
Type03,255,PCA_LINEAR,5.59461,5.2303,2.80739,1.00993,2.83601,0.57997,469.25175,0.95637,0.9777,4.98089,,,,,,,,,,,,
Type03,255,PCA_SVR,5.36124,4.85588,2.16213,0.69538,2.62502,0.49143,212.21685,0.96951,0.98452,4.38644,,,,,,,,,,,,
Type03,255,PURE_GPR,5.5152,5.10494,2.55369,0.93089,4.42531,0.47447,692.50193,0.94289,0.97061,4.84785,,,,,,,,,,,,
Type03,255,RATIO_CTRL,3.36961,3.17364,3.63096,1.80982,0.98624,3.2427,229.85037,0.93819,0.96811,2.37595,,,,,,,,,,,,
Type03,260,PCA_GPR,5.44431,5.05233,4.66244,1.60332,16.5324,0.90968,825.19269,0.9358,0.96683,3.89031,,,,,,,,,,,,
Type03,260,PCA_KRR,6.14518,5.40112,3.04859,0.80677,0.12841,0.14186,225.45049,0.96091,0.98007,4.69476,,,,,,,,,,,,
Type03,260,PCA_LINEAR,6.39249,5.57365,2.95451,0.7481,0.37043,0.36532,261.98292,0.96395,0.98165,4.74948,,,,,,,,,,,,
Type03,260,PCA_SVR,5.56165,4.9006,2.44853,0.78361,0.95702,0.41278,59.31542,0.96373,0.98153,4.39967,,,,,,,,,,,,
Type03,260,PURE_GPR,6.50403,5.68787,3.00546,0.95366,0.58465,0.4511,487.73127,0.93741,0.9677,4.87236,,,,,,,,,,,,
Type03,260,RATIO_CTRL,2.92384,2.68793,3.96855,1.53822,3.71253,3.45892,558.26465,0.94588,0.97219,2.31305,,,,,,,,,,,,
Type03,265,PCA_GPR,6.07693,5.38508,9.97715,2.86187,32.091,2.33233,1609.72128,0.89616,0.94524,5.07126,,,,,,,,,,,,
Type03,265,PCA_KRR,6.78764,5.75202,5.14757,1.55468,1.40683,0.16985,459.99454,0.93499,0.9664,5.62392,,,,,,,,,,,,
Type03,265,PCA_LINEAR,6.81977,5.7293,5.3693,1.623,0.41488,0.23197,467.89583,0.93414,0.96595,5.56765,,,,,,,,,,,,
Type03,265,PCA_SVR,6.99426,6.04017,5.12809,1.60348,4.29567,0.46278,349.0923,0.93238,0.96501,5.91832,,,,,,,,,,,,
Type03,265,PURE_GPR,7.01566,5.85998,5.16713,1.65246,0.8281,0.43026,721.26064,0.91132,0.9536,5.71275,,,,,,,,,,,,
Type03,265,RATIO_CTRL,3.80366,3.1546,6.76177,2.46101,4.73108,3.75334,476.86807,0.91615,0.95624,3.14198,,,,,,,,,,,,
Type03,270,PCA_GPR,8.12978,6.87436,15.06623,3.00372,28.04847,0.93127,1476.02806,0.88766,0.94049,6.37641,,,,,,,,,,,,
Type03,270,PCA_KRR,6.78873,5.83739,4.51393,1.18497,2.73035,1.08419,251.50124,0.94527,0.97186,5.56866,,,,,,,,,,,,
Type03,270,PCA_LINEAR,6.52689,5.6108,4.29734,1.12999,1.02672,0.92346,246.72553,0.94741,0.97299,5.3024,,,,,,,,,,,,
Type03,270,PCA_SVR,7.67144,6.63476,4.55609,1.28957,7.56009,1.50685,146.16517,0.93872,0.96839,6.43498,,,,,,,,,,,,
Type03,270,PURE_GPR,6.41013,5.51745,4.27491,1.21344,0.60975,1.16415,575.98646,0.91852,0.95753,5.15522,,,,,,,,,,,,
Type03,270,RATIO_CTRL,2.50542,1.82616,5.44496,1.59913,5.55023,4.77946,825.92578,0.94708,0.97282,1.81677,,,,,,,,,,,,
Type03,275,PCA_GPR,10.51221,9.16236,20.22445,4.78151,63.14948,3.98231,2466.60222,0.83857,0.9122,9.00412,,,,,,,,,,,,
Type03,275,PCA_KRR,6.93469,5.61709,4.44483,1.17954,3.43879,1.42267,145.20714,0.94326,0.9708,5.44927,,,,,,,,,,,,
Type03,275,PCA_LINEAR,6.66759,5.41431,4.16851,1.14578,2.12054,1.19509,137.34739,0.94523,0.97184,5.25374,,,,,,,,,,,,
Type03,275,PCA_SVR,7.59242,6.20574,5.02908,1.27028,6.86522,1.70205,65.91668,0.93952,0.96882,6.03659,,,,,,,,,,,,
Type03,275,PURE_GPR,6.16396,4.93075,3.7299,1.25604,1.19056,1.28564,611.67351,0.9156,0.95594,4.59728,,,,,,,,,,,,
Type03,275,RATIO_CTRL,3.3378,2.74274,7.35021,2.2719,6.82688,5.44754,1066.56241,0.91934,0.95798,2.73342,,,,,,,,,,,,
Type03,280,PCA_GPR,7.40121,6.75423,3.70997,1.14053,1.07432,1.66037,287.00172,0.95529,0.97713,5.9206,,,,,,,,,,,,
Type03,280,PCA_KRR,7.20938,6.57479,3.49771,1.1751,3.48193,1.47082,427.2839,0.95387,0.97639,5.76985,,,,,,,,,,,,
Type03,280,PCA_LINEAR,7.49881,6.86768,3.53202,1.18803,1.65098,1.44233,378.19211,0.95203,0.97543,6.05816,,,,,,,,,,,,
Type03,280,PCA_SVR,6.85551,6.13887,3.54189,1.17851,7.78359,1.10545,559.34171,0.95416,0.97654,5.2684,,,,,,,,,,,,
Type03,280,PURE_GPR,6.17896,5.58354,4.18363,1.35094,9.98751,1.20036,1083.65775,0.92072,0.95872,4.62676,,,,,,,,,,,,
Type03,280,RATIO_CTRL,7.80204,7.61107,7.41414,2.30058,4.78889,6.13722,960.34689,0.92777,0.96253,3.1076,,,,,,,,,,,,
Type04,230,PCA_GPR,4.18438,3.90943,0.48463,0.12248,1.22453,0.13824,87.52527,0.99407,0.99702,3.73725,,,,,,,,,,,,
Type04,230,PCA_KRR,4.63737,4.37044,0.77926,0.21633,0.80551,0.01677,70.79411,0.98888,0.99441,4.16484,,,,,,,,,,,,
Type04,230,PCA_LINEAR,4.50098,4.19818,1.02541,0.41447,2.00958,0.512,132.21773,0.98376,0.99181,4.0507,,,,,,,,,,,,
Type04,230,PCA_SVR,5.11333,4.94705,2.15459,0.4867,5.55843,0.3798,126.22292,0.97938,0.98958,4.76256,,,,,,,,,,,,
Type04,230,PURE_GPR,5.23789,5.02957,1.90379,0.39091,3.81406,0.13138,37.3056,0.98136,0.99059,4.81044,,,,,,,,,,,,
Type04,230,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type04,235,PCA_GPR,8.49446,8.23909,21.04209,2.85746,39.47055,5.98951,1265.30749,0.89966,0.94718,8.06465,,,,,,,,,,,,
Type04,235,PCA_KRR,4.99729,4.76646,2.67074,0.69275,0.92628,0.86217,19.43475,0.97305,0.98634,4.59716,,,,,,,,,,,,
Type04,235,PCA_LINEAR,4.99313,4.78738,2.61464,0.6554,1.76539,0.82835,43.64216,0.97625,0.98798,4.56256,,,,,,,,,,,,
Type04,235,PCA_SVR,5.09277,4.78833,2.60342,0.7901,0.89603,0.79499,174.80641,0.96543,0.98241,4.64787,,,,,,,,,,,,
Type04,235,PURE_GPR,4.75463,4.57051,2.7118,0.65801,1.8609,0.79025,23.47519,0.96892,0.98422,4.36743,,,,,,,,,,,,
Type04,235,RATIO_CTRL,2.11365,1.88481,3.30426,0.93808,4.27628,1.83355,293.04182,0.96638,0.9829,1.73745,,,,,,,,,,,,
Type04,240,PCA_GPR,5.4611,4.93898,2.92825,1.32312,3.47947,1.06693,125.80307,0.94314,0.97074,4.88967,,,,,,,,,,,,
Type04,240,PCA_KRR,4.57938,4.18465,2.61378,1.19914,1.74833,0.81958,208.74743,0.94903,0.97385,4.1428,,,,,,,,,,,,
Type04,240,PCA_LINEAR,4.52325,4.15262,2.72128,1.09606,3.51328,1.03496,272.41068,0.95212,0.97547,4.10741,,,,,,,,,,,,
Type04,240,PCA_SVR,4.86052,4.37357,3.00455,1.39262,1.07467,0.71006,15.81898,0.94081,0.9695,4.33548,,,,,,,,,,,,
Type04,240,PURE_GPR,3.79155,3.48384,2.49898,1.16726,0.42689,0.53685,133.99377,0.95252,0.97568,3.43477,,,,,,,,,,,,
Type04,240,RATIO_CTRL,1.8244,1.66998,3.32179,1.1779,6.49321,2.50198,643.04901,0.95222,0.97552,1.66174,,,,,,,,,,,,
Type04,245,PCA_GPR,7.50264,7.2522,10.91864,1.78548,25.06306,2.10963,1035.34564,0.93009,0.96378,7.11189,,,,,,,,,,,,
Type04,245,PCA_KRR,5.15508,4.86477,3.08951,1.29915,1.33387,0.847,270.7387,0.94683,0.97269,4.79874,,,,,,,,,,,,
Type04,245,PCA_LINEAR,5.11902,4.83252,3.1804,1.08729,2.82053,0.49167,280.01646,0.95823,0.97867,4.75438,,,,,,,,,,,,
Type04,245,PCA_SVR,5.15891,4.82276,3.15221,1.36763,0.18497,0.95512,189.46064,0.94048,0.96933,4.75937,,,,,,,,,,,,
Type04,245,PURE_GPR,4.21441,3.94279,2.93071,1.25746,1.35118,1.26943,82.55369,0.94019,0.96918,3.88504,,,,,,,,,,,,
Type04,245,RATIO_CTRL,2.22718,1.89034,4.69236,1.34875,6.23914,1.48407,775.9505,0.94567,0.97207,1.8806,,,,,,,,,,,,
Type04,250,PCA_GPR,5.5667,4.93625,4.92872,2.22085,1.17581,2.86016,61.57692,0.92118,0.95897,4.66745,,,,,,,,,,,,
Type04,250,PCA_KRR,6.12937,5.39847,4.77848,2.32826,1.4248,2.75079,199.87087,0.91675,0.95657,5.03895,,,,,,,,,,,,
Type04,250,PCA_LINEAR,6.16947,5.35135,4.30872,2.04365,0.44615,2.34485,239.65572,0.92494,0.96101,4.94108,,,,,,,,,,,,
Type04,250,PCA_SVR,5.61943,4.98241,4.98236,2.26321,1.75067,2.91027,92.94604,0.91984,0.95825,4.68684,,,,,,,,,,,,
Type04,250,PURE_GPR,5.51081,4.99213,4.76583,2.24468,4.19833,3.23977,453.56818,0.91657,0.95647,4.22296,,,,,,,,,,,,
Type04,250,RATIO_CTRL,1.96365,1.74557,3.57884,1.11018,3.38252,0.10152,385.63076,0.9574,0.97824,1.73692,,,,,,,,,,,,
Type04,260,PCA_GPR,5.49064,4.88963,4.43087,1.4589,11.18458,0.99875,168.86102,0.94082,0.96951,3.55429,,,,,,,,,,,,
