Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type00,240,PCA_GPR,6.48163,6.11216,1.23529,0.34076,1.78147,0.09458,1.63796,0.97887,0.98932,5.87887
Type00,240,PCA_KRR,6.17267,5.72178,0.84393,0.19418,0.66141,0.27789,81.56253,0.98670,0.99330,5.49008
Type00,240,PCA_LINEAR,6.16275,5.66338,1.29024,0.57272,3.80607,1.10058,298.14636,0.97202,0.98581,5.49410
Type00,240,PCA_SVR,6.88885,6.61458,2.23950,0.61637,5.04197,0.21882,119.06554,0.96984,0.98469,6.39745
Type00,240,PURE_GPR,6.24456,5.87699,1.11497,0.34393,1.62012,0.10015,3.84425,0.98196,0.99090,5.65082
Type00,240,PURE_KRR,6.13837,5.67836,0.84354,0.17790,0.95088,0.29209,93.38139,0.98737,0.99364,5.44732
Type00,240,PURE_SVR,6.01583,5.52407,0.89325,0.17331,1.43740,0.40198,85.74910,0.98948,0.99471,5.30160
Type00,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,245,PCA_GPR,14.10203,13.74274,23.85524,5.16103,57.73960,6.11183,1784.30558,0.83685,0.91118,13.73677
Type00,245,PCA_KRR,5.54228,5.07108,3.09542,1.09817,6.25560,0.51100,445.20591,0.95950,0.97933,4.83022
Type00,245,PCA_LINEAR,6.01821,5.54245,3.19039,0.99353,3.60531,0.65422,427.16696,0.96168,0.98047,5.26097
Type00,245,PCA_SVR,5.55405,5.06056,2.91240,1.08169,6.39013,0.47966,441.32846,0.95996,0.97957,4.79552
Type00,245,PURE_GPR,5.15537,4.72259,3.12129,1.13357,6.15665,0.42175,444.02769,0.95981,0.97949,4.44716
Type00,245,PURE_KRR,5.55024,5.07222,3.15605,1.13379,6.40464,0.36662,473.83648,0.95798,0.97854,4.81832
Type00,245,PURE_SVR,5.52973,5.05439,3.16501,1.12975,6.19780,0.40260,451.57899,0.95826,0.97868,4.79584
Type00,245,RATIO_CTRL,2.39436,2.23663,2.78873,1.07731,0.56575,0.84989,31.86200,0.95985,0.97952,1.64863
Type00,255,PCA_GPR,9.64728,9.33301,13.76745,3.14420,25.39914,4.48737,1343.31622,0.89481,0.94448,9.25031
Type00,255,PCA_KRR,6.54350,5.95937,5.63047,1.56335,7.75856,0.10022,54.98675,0.94109,0.96965,5.86448
Type00,255,PCA_LINEAR,6.90472,6.30714,5.33323,1.28031,3.34569,0.57958,291.54710,0.95467,0.97681,6.16913
Type00,255,PCA_SVR,6.42749,5.82764,5.56443,1.55068,8.54151,0.09730,44.70541,0.94158,0.96991,5.73863
Type00,255,PURE_GPR,6.47926,5.84370,6.28684,1.58543,8.14025,0.26264,69.53860,0.94402,0.97120,5.75566
Type00,255,PURE_KRR,6.73517,6.12186,6.59296,1.59887,6.36611,0.43368,6.52906,0.93988,0.96901,6.02451
Type00,255,PURE_SVR,6.84910,6.25101,6.72328,1.59329,5.51125,0.44702,12.08120,0.94007,0.96911,6.14512
Type00,255,RATIO_CTRL,3.36649,2.71537,7.01215,2.09570,1.50674,2.84668,891.90837,0.92882,0.96310,2.70384
Type00,265,PCA_GPR,9.21424,8.60452,4.16906,1.85315,6.32876,0.05155,0.65818,0.93362,0.96567,8.41349
Type00,265,PCA_KRR,8.56280,7.37689,4.76528,2.06237,7.42422,2.09844,753.89812,0.92495,0.96101,7.17152
Type00,265,PCA_LINEAR,7.85922,6.86886,3.50051,1.36756,5.22663,0.97809,434.41956,0.94719,0.97288,6.65424
Type00,265,PCA_SVR,8.69405,7.51276,4.81635,2.11467,6.73439,2.10768,747.09265,0.92315,0.96004,7.31987
Type00,265,PURE_GPR,8.71713,7.74781,8.21796,2.50236,5.26048,1.44786,923.75874,0.90830,0.95195,7.55894
Type00,265,PURE_KRR,8.75626,7.69832,8.32854,2.52691,5.57753,1.57451,936.76208,0.90767,0.95160,7.49543
Type00,265,PURE_SVR,8.72105,7.65184,8.40365,2.51793,6.38703,1.75414,989.61745,0.90757,0.95154,7.44258
Type00,265,RATIO_CTRL,3.55298,3.43740,4.69240,1.77663,0.24831,1.97326,385.31751,0.93898,0.96853,2.14696
Type00,270,PCA_GPR,6.30495,5.66579,5.25608,1.19644,4.70433,0.82526,259.41600,0.95679,0.97792,5.57163
Type00,270,PCA_KRR,7.18379,6.79226,5.01304,1.34735,0.71831,0.08624,136.47484,0.95280,0.97583,6.58772
Type00,270,PCA_LINEAR,6.83827,6.28657,5.49279,1.23615,0.05293,1.24830,439.40054,0.95612,0.97757,6.15307
Type00,270,PCA_SVR,7.47185,7.11940,4.94985,1.42321,0.83760,0.04113,149.49320,0.94980,0.97426,6.91926
Type00,270,PURE_GPR,7.75562,7.24377,7.53752,1.93635,2.84286,0.70535,48.85958,0.92922,0.96331,7.07652
Type00,270,PURE_KRR,7.58881,7.05529,7.29721,1.83741,0.97553,0.42848,129.41262,0.93265,0.96515,6.85654
Type00,270,PURE_SVR,7.43272,6.86171,7.08397,1.77175,0.72921,0.16150,214.01922,0.93366,0.96569,6.65956
Type00,270,RATIO_CTRL,4.32830,3.84237,7.29204,2.83750,5.72243,4.60147,1374.19536,0.91131,0.95360,3.65202
Type00,275,PCA_GPR,6.55891,5.80476,6.84593,2.04156,21.96272,1.55086,1144.45641,0.92611,0.96164,5.18367
Type00,275,PCA_KRR,8.59250,7.94983,4.01416,1.73452,0.60179,0.56870,563.49054,0.93375,0.96574,7.50396
Type00,275,PCA_LINEAR,7.97802,7.26102,2.74897,1.30740,0.88000,0.34679,340.63879,0.94786,0.97323,6.78918
Type00,275,PCA_SVR,9.12429,8.52760,4.11418,1.87275,2.64086,0.48502,489.37781,0.92930,0.96335,8.12100
Type00,275,PURE_GPR,9.28687,8.50190,9.86559,2.60309,3.88606,0.07845,781.15520,0.90475,0.95000,8.16432
Type00,275,PURE_KRR,9.21267,8.30177,9.96503,2.48635,1.32406,0.26630,900.04617,0.90821,0.95190,7.88675
Type00,275,PURE_SVR,9.05742,8.08657,9.99817,2.41957,0.69101,0.53103,989.48778,0.90912,0.95240,7.64101
Type00,275,RATIO_CTRL,4.04985,3.81340,4.48517,1.84274,5.16490,3.86416,712.79351,0.93587,0.96687,2.20918
Type01,230,PCA_GPR,20.79292,19.86249,27.47496,6.57126,84.08881,6.16989,2828.79553,0.78461,0.87931,19.78621
Type01,230,PCA_KRR,6.10447,5.67394,0.86363,0.25969,0.70587,0.00944,15.45345,0.98902,0.99448,5.38929
Type01,230,PCA_LINEAR,6.09446,5.40096,1.08375,0.41354,0.85633,0.11375,189.55997,0.97660,0.98816,5.01992
Type01,230,PCA_SVR,6.49027,6.20019,1.71187,0.40626,3.58035,0.17326,64.86980,0.98144,0.99063,5.94816
Type01,230,PURE_GPR,7.27129,7.00284,3.29673,0.77801,8.07960,0.71635,211.92306,0.96493,0.98215,6.73896
Type01,230,PURE_KRR,6.03415,5.61911,0.74030,0.22586,0.21505,0.02668,51.73660,0.98844,0.99419,5.35079
Type01,230,PURE_SVR,6.10818,5.75440,0.74950,0.20403,0.22347,0.08402,108.00272,0.98824,0.99408,5.48952
Type01,230,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type01,240,PCA_GPR,14.79640,14.30340,17.20548,3.86710,49.09002,3.62987,1821.91663,0.86173,0.92573,14.02019
Type01,240,PCA_KRR,6.18336,5.31015,3.62170,1.59136,6.39661,0.09907,57.48374,0.93320,0.96545,5.16706
Type01,240,PCA_LINEAR,6.36237,5.50800,3.81343,1.58607,3.80764,0.16662,124.38806,0.94251,0.97041,5.36667
Type01,240,PCA_SVR,5.80293,5.01817,3.19794,1.70633,8.24992,0.15526,98.90003,0.92941,0.96341,4.95657
Type01,240,PURE_GPR,6.06531,5.21435,4.16145,1.87844,5.75906,0.17753,89.34288,0.93177,0.96468,5.07179
Type01,240,PURE_KRR,6.11433,5.31509,3.90293,1.77432,5.54374,0.12971,41.09591,0.93303,0.96536,5.25394
Type01,240,PURE_SVR,6.54708,5.81238,4.00923,1.78861,5.24803,0.26889,18.59078,0.93369,0.96571,5.65863
Type01,240,RATIO_CTRL,4.23656,4.14175,3.12078,1.30350,1.89432,1.21806,298.26202,0.95241,0.97563,1.89923
Type01,250,PCA_GPR,9.09424,9.02067,7.55016,2.01352,17.15422,1.48279,522.63015,0.92194,0.95938,8.85673
Type01,250,PCA_KRR,5.92758,5.39819,3.81983,1.51927,4.65006,0.11615,105.06703,0.94021,0.96918,5.35791
Type01,250,PCA_LINEAR,5.94558,5.43471,3.58724,1.37601,5.28796,0.13839,206.17869,0.94320,0.97077,5.37135
Type01,250,PCA_SVR,6.16132,5.72174,3.33938,1.31916,1.97837,0.15040,111.84549,0.94216,0.97022,5.64266
Type01,250,PURE_GPR,5.81037,5.24122,5.18127,1.98052,5.42361,0.31258,17.92150,0.92801,0.96266,5.21167
Type01,250,PURE_KRR,6.08819,5.56885,4.94363,1.87391,3.74008,0.42773,46.93381,0.93466,0.96622,5.53219
Type01,250,PURE_SVR,6.21136,5.67238,5.03430,1.89077,3.36159,0.42835,15.32075,0.93522,0.96653,5.62924
Type01,250,RATIO_CTRL,2.15476,1.85085,3.21443,1.20046,0.71702,2.44515,360.10193,0.95857,0.97885,1.84225
Type01,260,PCA_GPR,7.05737,5.88932,7.28736,3.09738,14.55581,3.40826,521.89660,0.88652,0.93985,5.40040
Type01,260,PCA_KRR,7.31269,6.29921,8.59162,3.08170,3.06756,2.86603,158.87680,0.90070,0.94775,6.20516
Type01,260,PCA_LINEAR,7.48665,6.32287,7.13116,2.88924,6.44592,2.82512,255.40774,0.89022,0.94192,6.04573
Type01,260,PCA_SVR,7.49372,6.20112,8.67050,3.23770,12.75632,3.46856,550.31592,0.87714,0.93455,5.63069
Type01,260,PURE_GPR,7.96061,7.01978,8.55965,3.66293,1.69423,1.10986,124.18770,0.88431,0.93860,6.78771
Type01,260,PURE_KRR,7.79742,6.79631,9.18140,3.71936,2.36815,1.38319,219.46981,0.87485,0.93325,6.56977
Type01,260,PURE_SVR,8.03383,6.90552,8.67990,3.67985,2.81759,1.57155,169.37921,0.87824,0.93517,6.48244
Type01,260,RATIO_CTRL,5.15718,4.92597,6.08040,2.06483,0.68169,1.02906,732.25245,0.93262,0.96514,2.85623
Type01,280,PCA_GPR,12.22530,10.65389,24.21447,5.94701,76.39260,6.41257,2617.32834,0.80882,0.89431,10.69153
Type01,280,PCA_KRR,8.10976,6.71252,6.09780,2.07889,13.42220,1.26263,1122.75311,0.87616,0.93399,6.18659
Type01,280,PCA_LINEAR,7.36362,6.59600,5.42448,2.33544,6.91300,1.17368,279.98249,0.89377,0.94390,6.50905
Type01,280,PCA_SVR,8.97623,7.36309,5.99164,2.10158,17.12924,1.54589,1476.70169,0.85960,0.92450,5.80381
Type01,280,PURE_GPR,7.41659,6.56426,8.66449,3.35456,15.65368,1.70496,786.05441,0.86761,0.92911,5.97617
Type01,280,PURE_KRR,8.89975,7.76541,8.51530,3.24193,10.55933,2.31385,1047.98824,0.85264,0.92046,6.80643
Type01,280,PURE_SVR,10.25733,9.42261,8.52788,3.25042,12.01386,2.80998,1247.22771,0.84153,0.91395,9.00322
Type01,280,RATIO_CTRL,4.08985,3.51132,8.36575,2.49306,5.06343,4.78543,1637.35509,0.92414,0.96058,3.11779
Type02,230,PCA_GPR,8.35156,8.23562,5.43909,1.26540,15.01587,0.99960,388.73444,0.94087,0.96953,7.98250
Type02,230,PCA_KRR,6.29335,5.78840,0.80582,0.39101,0.40367,0.63094,123.38180,0.98073,0.99027,5.55367
Type02,230,PCA_LINEAR,6.30396,5.70688,1.90425,0.55529,2.51938,0.08674,232.08409,0.96395,0.98164,5.47694
Type02,230,PCA_SVR,6.63571,6.26438,1.67803,0.36011,3.44662,0.07045,30.64090,0.97895,0.98936,5.95503
Type02,230,PURE_GPR,8.36377,7.99743,3.15136,0.70340,6.20593,0.35254,18.17265,0.96186,0.98056,7.66730
Type02,230,PURE_KRR,6.23371,5.72644,0.69789,0.32530,0.23591,0.49704,110.32517,0.98307,0.99146,5.48232
Type02,230,PURE_SVR,6.43617,5.90095,0.67680,0.21637,0.66731,0.34216,134.59715,0.98566,0.99278,5.61405
Type02,230,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type02,250,PCA_GPR,8.63899,8.07817,7.34484,3.14526,4.91062,6.41403,1103.00700,0.87593,0.93386,8.00858
Type02,250,PCA_KRR,7.96279,7.37530,6.21977,2.48701,0.04367,4.96278,729.92587,0.89632,0.94533,7.29351
Type02,250,PCA_LINEAR,7.62356,7.07490,5.46922,1.93875,0.54054,3.95633,725.38972,0.91547,0.95587,6.97154
Type02,250,PCA_SVR,8.67023,8.05945,7.46028,3.28721,4.09433,6.56916,1005.85437,0.87072,0.93089,7.99488
Type02,250,PURE_GPR,7.71004,7.04800,8.41527,2.51438,1.03457,5.07794,577.24921,0.88839,0.94090,6.96326
Type02,250,PURE_KRR,8.47822,7.80297,9.25203,2.96370,3.56810,6.02217,707.02529,0.87178,0.93150,7.71843
Type02,250,PURE_SVR,8.44711,7.81571,8.67911,2.80646,2.39620,5.45435,560.57752,0.87580,0.93379,7.73565
Type02,250,RATIO_CTRL,4.46756,3.58659,7.86934,2.95883,6.49095,6.59582,1495.95234,0.89008,0.94184,3.57123
Type02,260,PCA_GPR,5.70798,5.04646,6.02013,2.02573,14.25162,0.92999,499.45396,0.91512,0.95568,4.97798
Type02,260,PCA_KRR,6.88625,6.32444,3.74815,1.62122,0.42609,1.89235,87.66593,0.93057,0.96404,6.21529
Type02,260,PCA_LINEAR,6.83109,6.28833,3.50567,1.32434,0.68798,1.49021,137.47719,0.93975,0.96894,6.15889
Type02,260,PCA_SVR,6.81383,6.10106,2.96018,1.43248,2.30061,1.25820,115.81007,0.93403,0.96589,5.97512
Type02,260,PURE_GPR,8.36402,7.57081,8.65645,2.30802,6.02255,3.23460,18.44149,0.89666,0.94551,7.46035
Type02,260,PURE_KRR,7.59362,6.76013,8.61057,2.28984,4.42455,3.34339,7.41957,0.89964,0.94717,6.67607
Type02,260,PURE_SVR,7.43013,6.63304,8.20136,2.20313,3.66032,2.95918,125.28149,0.90163,0.94827,6.54942
Type02,260,RATIO_CTRL,4.25833,3.51168,7.30195,2.85630,8.47802,5.49566,1207.36304,0.90209,0.94853,3.49687
Type02,270,PCA_GPR,8.26073,7.18206,15.91858,3.22338,38.13766,0.44889,1446.92619,0.87785,0.93495,6.88616
Type02,270,PCA_KRR,7.97316,7.60893,3.41879,1.18378,2.32949,0.19780,134.62398,0.94318,0.97076,7.24525
Type02,270,PCA_LINEAR,7.95964,7.55728,3.34893,1.37740,2.85551,0.70175,97.60334,0.93799,0.96800,7.21514
Type02,270,PCA_SVR,8.69392,8.28295,3.88580,1.26995,0.95752,0.61921,77.92423,0.93927,0.96868,7.90156
Type02,270,PURE_GPR,9.10200,8.47165,8.25228,2.50595,4.92484,2.37638,225.81046,0.89670,0.94554,8.17107
Type02,270,PURE_KRR,8.76819,8.19262,7.70413,2.33507,3.83515,1.70233,339.55458,0.90074,0.94778,7.92716
Type02,270,PURE_SVR,8.59247,8.07078,7.80659,2.37235,4.67840,1.92434,295.18640,0.90163,0.94827,7.80422
Type02,270,RATIO_CTRL,4.78557,4.07780,6.97544,3.28325,8.45026,6.06163,1291.66180,0.88828,0.94083,4.06207
