Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type00,240,PCA_GPR,34.69220,31.66657,15.51423,4.20193,18.75815,2.79760,82.29989,0.85528,0.92199,31.44263
Type00,240,PCA_KRR,30.07340,26.61804,12.62472,2.20217,16.92046,0.36190,1155.63968,0.90575,0.95054,26.03163
Type00,240,PCA_LINEAR,28.23085,24.85984,11.24699,3.85211,41.08993,2.57063,1956.16290,0.86280,0.92635,24.47610
Type00,240,PCA_SVR,32.68929,29.32420,12.52389,3.04240,1.22043,1.05122,531.93094,0.88509,0.93904,28.94404
Type00,240,PURE_GPR,28.21696,24.86087,11.26310,3.93697,41.70893,2.73458,1977.53719,0.85934,0.92435,24.49720
Type00,240,PURE_KRR,29.12984,25.58121,11.39322,3.24190,33.18463,2.11007,1697.36636,0.87732,0.93465,25.15159
Type00,240,PURE_SVR,28.21832,24.86135,11.27492,3.93408,41.58186,2.73281,1971.08225,0.85889,0.92409,24.49817
Type00,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,245,PCA_GPR,32.18297,28.48954,12.80637,3.21599,7.16399,0.76071,404.97195,0.87671,0.93430,28.15757
Type00,245,PCA_KRR,28.39945,24.87660,10.73007,3.41279,28.09343,2.54198,1628.76422,0.87077,0.93092,24.52538
Type00,245,PCA_LINEAR,28.27520,24.74401,11.45880,3.91437,38.05769,3.59106,1960.69729,0.86177,0.92575,24.33811
Type00,245,PCA_SVR,30.32854,26.46195,10.79603,2.58122,16.16293,1.79411,1221.43594,0.89135,0.94255,25.88253
Type00,245,PURE_GPR,28.26519,24.74128,11.62479,3.95069,38.34355,3.68609,1971.36361,0.86139,0.92554,24.34804
Type00,245,PURE_KRR,28.97384,25.29061,11.29285,3.42709,30.43484,3.05130,1707.41059,0.87422,0.93289,24.87564
Type00,245,PURE_SVR,28.26035,24.73614,11.69370,3.94055,37.62851,3.67216,1934.43847,0.86101,0.92532,24.34939
Type00,245,RATIO_CTRL,2.61264,2.38327,3.01895,1.41767,5.09659,0.03983,175.58191,0.94049,0.96933,2.02520
Type00,255,PCA_GPR,35.07679,31.65026,15.79760,3.74859,8.26907,1.96270,542.07274,0.85234,0.92029,31.09180
Type00,255,PCA_KRR,30.16084,26.70233,16.61027,4.69746,47.79068,4.84368,1925.13594,0.83028,0.90727,26.23633
Type00,255,PCA_LINEAR,30.10236,26.64266,16.29013,4.35226,43.89653,4.41702,1792.40033,0.83675,0.91112,26.20404
Type00,255,PCA_SVR,29.78776,26.40037,16.37256,4.59149,47.12881,4.65793,1903.32072,0.83174,0.90814,25.97657
Type00,255,PURE_GPR,29.35059,26.06405,16.86176,5.03163,51.18002,5.18386,1993.02191,0.81080,0.89552,25.65306
Type00,255,PURE_KRR,30.10104,26.65440,16.53717,4.74564,48.56824,4.91478,1960.63763,0.82939,0.90674,26.19098
Type00,255,PURE_SVR,30.11490,26.65823,16.51689,4.76420,48.81205,4.87148,1958.59768,0.82886,0.90643,26.18980
