Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type00,240,PCA_GPR,5.30166,4.96602,0.71176,0.21628,0.72570,0.18104,38.41887,0.98589,0.99289,4.75263
Type00,240,PCA_KRR,5.20017,4.84011,0.51291,0.17793,0.06515,0.23430,61.59043,0.98852,0.99423,4.62837
Type00,240,PCA_LINEAR,5.18163,4.76533,1.24530,0.55619,3.23006,1.06337,268.03414,0.97385,0.98675,4.61938
Type00,240,PCA_SVR,5.92022,5.72277,2.24123,0.61383,5.62701,0.26289,140.80498,0.97043,0.98499,5.53682
Type00,240,PURE_GPR,4.93081,4.65321,0.95790,0.29413,1.93179,0.10084,36.17774,0.98528,0.99258,4.46553
Type00,240,PURE_KRR,5.16635,4.79741,0.50702,0.15963,0.34721,0.24686,73.38760,0.98919,0.99456,4.58572
Type00,240,PURE_SVR,5.04247,4.64430,0.50810,0.15178,0.84534,0.35767,66.12930,0.99073,0.99534,4.44132
Type00,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,245,PCA_GPR,12.95870,12.52767,23.63755,5.14623,57.96794,6.27723,1793.22049,0.84035,0.91325,12.54436
Type00,245,PCA_KRR,4.46422,4.10565,3.14698,1.12564,5.82512,0.37261,430.48667,0.95852,0.97882,3.85396
Type00,245,PCA_LINEAR,4.90894,4.53106,3.24386,1.00666,3.17334,0.50907,417.83791,0.96131,0.98027,4.26275
Type00,245,PCA_SVR,4.48473,4.10257,2.96753,1.11936,6.11446,0.34871,436.84523,0.95827,0.97869,3.81041
Type00,245,PURE_GPR,3.94662,3.63551,3.16639,1.15727,5.83655,0.26779,425.65854,0.95925,0.97920,3.32568
Type00,245,PURE_KRR,4.48268,4.11568,3.21433,1.14966,5.85476,0.20689,453.47275,0.95715,0.97810,3.84739
Type00,245,PURE_SVR,4.46084,4.09765,3.22793,1.14265,5.67561,0.25746,435.66691,0.95785,0.97847,3.82884
Type00,245,RATIO_CTRL,2.46943,2.27800,2.74393,1.15179,0.35765,0.95364,56.22003,0.95935,0.97925,1.75466
Type00,255,PCA_GPR,8.48508,8.17390,13.60072,3.10283,25.79808,4.62928,1373.57930,0.89804,0.94628,8.11655
Type00,255,PCA_KRR,5.43912,4.93921,5.59636,1.53401,7.01556,0.00728,119.21697,0.94550,0.97199,4.87405
Type00,255,PCA_LINEAR,5.80410,5.28016,5.33617,1.25943,2.60986,0.70812,330.12077,0.95828,0.97870,5.17425
Type00,255,PCA_SVR,5.29381,4.77651,5.51106,1.53277,8.22217,0.02818,90.79402,0.94505,0.97175,4.71287
Type00,255,PURE_GPR,5.45767,4.89316,6.37535,1.57388,6.79710,0.47595,6.18670,0.94251,0.97041,4.82594
Type00,255,PURE_KRR,5.64793,5.10448,6.62876,1.59233,5.18280,0.56570,80.80575,0.94457,0.97150,5.03656
Type00,255,PURE_SVR,5.76469,5.23297,6.74889,1.58700,4.33473,0.55723,95.19386,0.94402,0.97120,5.16343
Type00,255,RATIO_CTRL,3.38120,2.75343,7.03047,2.11818,1.47260,2.92469,889.29610,0.92822,0.96277,2.74209
Type00,265,PCA_GPR,8.23044,7.63797,4.10809,1.90430,7.20129,0.23337,55.89233,0.93366,0.96569,7.46753
Type00,265,PCA_KRR,7.63585,6.44831,4.63117,2.03143,6.60818,1.93662,684.82658,0.92942,0.96342,6.17735
Type00,265,PCA_LINEAR,6.88728,5.93261,3.31505,1.37377,4.40223,0.79930,380.94022,0.94918,0.97393,5.73785
Type00,265,PCA_SVR,7.73190,6.53724,4.71352,2.08460,6.33446,1.98794,693.46008,0.92794,0.96262,6.27041
Type00,265,PURE_GPR,7.72714,6.82938,8.39655,2.49443,3.79315,1.31055,829.44337,0.91335,0.95471,6.58632
Type00,265,PURE_KRR,7.83954,6.82084,8.48362,2.50645,3.99582,1.43157,829.79289,0.91400,0.95507,6.55137
Type00,265,PURE_SVR,7.80458,6.77707,8.55735,2.49573,4.74160,1.60750,872.65656,0.91396,0.95505,6.49869
Type00,265,RATIO_CTRL,3.65169,3.52833,4.91134,1.90789,0.17069,2.09547,389.64575,0.93521,0.96652,2.26772
Type00,270,PCA_GPR,5.43158,4.85621,5.36044,1.21143,4.00237,0.99003,276.83429,0.95772,0.97840,4.77748
Type00,270,PCA_KRR,6.24072,5.92640,5.08553,1.37280,0.09705,0.24774,158.45419,0.95427,0.97660,5.77291
Type00,270,PCA_LINEAR,5.96837,5.47690,5.59767,1.27800,0.76676,1.41474,458.10005,0.95638,0.97771,5.38298
Type00,270,PCA_SVR,6.48604,6.20221,5.01153,1.44339,1.13454,0.17494,158.38239,0.95060,0.97468,6.04441
Type00,270,PURE_GPR,6.77035,6.27506,7.62579,1.99501,4.03344,0.74626,5.65803,0.93176,0.96467,6.15614
Type00,270,PURE_KRR,6.73045,6.23465,7.46655,1.90971,2.52973,0.55525,63.34893,0.93307,0.96537,6.07177
