Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type00,240,PCA_GPR,10.20951,9.46958,1.69735,0.34543,2.37776,0.80659,162.21987,0.97923,0.98950,9.11565
Type00,240,PCA_KRR,10.13847,9.38014,1.72880,0.34336,3.05524,0.84440,181.54591,0.97991,0.98985,9.02989
Type00,240,PCA_LINEAR,10.02315,9.21702,2.03726,0.69492,6.55583,1.69188,392.12019,0.96657,0.98300,8.94258
Type00,240,PCA_SVR,10.89962,10.32917,2.40352,0.70162,2.86191,0.32030,25.40586,0.95987,0.97952,9.99188
Type00,240,PURE_GPR,9.81673,9.09386,1.67866,0.33965,3.05556,0.89061,155.61586,0.97926,0.98952,8.75253
Type00,240,PURE_KRR,10.09940,9.33212,1.71203,0.33706,3.34052,0.85782,195.00084,0.97995,0.98987,8.98337
Type00,240,PURE_SVR,9.97784,9.18549,1.76281,0.32340,3.62700,0.91259,184.06031,0.98267,0.99126,8.84399
Type00,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,245,PCA_GPR,17.36133,17.09308,23.76821,5.29415,52.64406,5.26166,1482.66752,0.82604,0.90473,17.03577
Type00,245,PCA_KRR,9.56967,8.74387,3.16467,1.20404,9.74423,1.25309,646.94877,0.94920,0.97394,8.49176
Type00,245,PCA_LINEAR,9.96414,9.16197,3.28321,1.11385,6.65229,1.40914,615.53844,0.95232,0.97558,8.87217
Type00,245,PCA_SVR,9.72918,8.89004,3.02227,1.11727,7.92714,1.06820,580.27654,0.95188,0.97534,8.61884
Type00,245,PURE_GPR,8.84638,8.08145,3.02212,1.28601,11.12848,1.25909,668.73435,0.94823,0.97342,7.84421
Type00,245,PURE_KRR,9.54762,8.72084,3.16779,1.22578,10.09280,1.11830,695.86973,0.94621,0.97236,8.46159
Type00,245,PURE_SVR,9.54013,8.70871,3.18798,1.22401,9.98213,1.09510,676.79303,0.94700,0.97278,8.45054
Type00,245,RATIO_CTRL,2.39949,2.26540,2.71015,1.14510,0.40592,0.68660,118.43335,0.95028,0.97451,1.66768
Type00,255,PCA_GPR,13.05945,12.47150,13.86543,3.05021,20.71550,3.68233,1094.31866,0.88526,0.93914,12.29609
Type00,255,PCA_KRR,10.48052,9.56546,5.60662,1.69562,11.90604,0.86961,118.67570,0.93049,0.96399,9.39355
Type00,255,PCA_LINEAR,10.82032,9.92155,5.36957,1.40501,6.22246,0.16485,130.78706,0.94688,0.97272,9.67269
Type00,255,PCA_SVR,10.91887,10.07478,5.79056,1.61593,7.78824,0.44217,40.80990,0.94057,0.96937,9.83279
Type00,255,PURE_GPR,10.53992,9.59316,6.31635,1.65564,11.87721,0.19002,276.49436,0.93025,0.96387,9.40903
Type00,255,PURE_KRR,10.60120,9.69035,6.31278,1.66608,11.76198,0.29540,279.37636,0.93010,0.96379,9.49955
Type00,255,PURE_SVR,10.72434,9.82363,6.41021,1.65719,11.30438,0.20038,268.74607,0.92967,0.96355,9.61588
Type00,255,RATIO_CTRL,3.28572,2.66081,6.87635,2.04755,1.80071,2.71644,849.25405,0.92480,0.96093,2.65046
Type00,265,PCA_GPR,13.27855,12.50215,4.08889,2.17090,0.97558,0.87361,312.41856,0.91751,0.95698,12.20156
Type00,265,PCA_KRR,12.24127,10.89305,4.72485,2.17298,13.18192,3.03813,1041.08038,0.91784,0.95716,10.62360
Type00,265,PCA_LINEAR,11.84828,10.69689,3.59581,1.63330,10.48814,1.88676,736.58982,0.93353,0.96562,10.36996
Type00,265,PCA_SVR,12.90569,11.69354,4.94160,2.28194,7.75697,2.62335,860.44607,0.91419,0.95517,11.43358
Type00,265,PURE_GPR,12.18202,10.93249,6.48328,2.61875,14.14490,2.36400,1449.31097,0.89016,0.94189,10.70438
Type00,265,PURE_KRR,12.31140,11.01546,6.42751,2.59342,13.76476,2.33438,1427.89459,0.89092,0.94232,10.78037
Type00,265,PURE_SVR,12.25463,10.94927,6.50715,2.59934,14.54881,2.42861,1475.30491,0.88996,0.94178,10.71422
Type00,265,RATIO_CTRL,3.76971,3.63674,5.22252,2.06248,1.54826,1.71556,218.42927,0.92703,0.96213,2.42077
Type00,270,PCA_GPR,10.64879,9.72532,6.18309,1.63927,8.00714,0.04888,0.99412,0.93437,0.96607,9.54882
Type00,270,PCA_KRR,11.33513,10.58690,6.03395,1.64003,4.43545,0.83050,96.57101,0.93515,0.96649,10.34633
Type00,270,PCA_LINEAR,11.22946,10.36961,6.42968,1.68157,3.28220,0.36752,176.98715,0.93315,0.96542,10.14773
Type00,270,PCA_SVR,12.01336,11.39458,6.17725,1.88330,0.43603,0.58246,45.33361,0.92824,0.96279,11.17429
Type00,270,PURE_GPR,11.05499,10.27981,7.75595,1.95999,6.51972,0.51606,646.73859,0.90946,0.95259,10.06843
Type00,270,PURE_KRR,11.45377,10.65446,7.95891,1.97925,5.71725,0.26016,621.40095,0.90709,0.95128,10.42667
Type00,270,PURE_SVR,11.26853,10.43346,7.77337,1.91784,7.16508,0.45411,692.87326,0.90753,0.95153,10.20635
Type00,270,RATIO_CTRL,4.69917,4.17387,7.85612,3.12441,5.74238,4.38563,1255.97865,0.89461,0.94438,3.91463
Type00,275,PCA_GPR,10.24480,9.17361,6.33176,2.28615,25.72844,2.36642,1448.17312,0.91322,0.95464,8.77005
